"Dimension","Unit","Symbol","Alternative Notations","IsSiUnit","BaseFactor","BaseOffset"
"None","None","","","True","1","0"
"Pressure","Bar","bar","","False","100000","0"
"Pressure","Millibar","mbar","","False","100","0"
"Pressure","Pascal","Pa","","True","1","0"
"Pressure","Kilopascal","kPa","","False","1000","0"
"Pressure","Megapascal","MPa","","False","1000000","0"
"Pressure","Psi","psi","","False","6894,757293168","0"
"ThermodynamicTemperature","Celsius","°C","","False","1","273,15"
"ThermodynamicTemperature","Kelvin","K","","True","1","0"
"Voltage","Volt","V","","True","1","0"
"Voltage","Millivolt","mV","","False","0,001","0"
"Voltage","Kilovolt","kV","","False","1000","0"
"Time","Second","s","","True","1","0"
"Time","Millisecond","ms","","False","0,001","0"
"Time","Minute","min","","False","60","0"
"Time","Hour","h","","False","3600","0"
"Time","Day","d","","False","86400","0"
"Time","Year","a","","False","31536000","0"
"ElectricCurrent","Ampere","A","","True","1","0"
"ElectricCurrent","Milliampere","mA","","False","0,001","0"
"Power","Watt","W","","True","1","0"
"Power","Kilowatt","kW","","False","1000","0"
"Power","Horsepower","hp","","False","745,6998715822702","0"
"Power","Pferdestaerken","PS","","False","735,49875","0"
"Length","Metre","m","","True","1","0"
"Length","Millimetre","mm","","False","0,001","0"
"Length","Kilometre","km","","False","1000","0"
"Length","Centimetre","cm","","False","0,01","0"
"Pressure","MetresOfWaterGauge","mWS","m WS; mH2O; ","False","9806,65","0"
"Area","SquareMetre","m^2","","True","1","0"
"Area","SquareCentimetre","cm^2","","False","0,0001","0"
"Area","SquareMillimetre","mm^2","","False","1E-06","0"
"Volume","CubicMetre","m^3","cbm; m³; ","True","1","0"
"Volume","CubicCentimetre","cm^3","ccm; cm³; ","False","1E-06","0"
"Volume","Litre","l","","False","0,001","0"
"Volume","Millilitre","ml","","False","1E-06","0"
"Speed","MetrePerSecond","m/s","","True","1","0"
"Speed","MetrePerHour","m/h","","False","0,447040357632","0"
"Speed","KilometrePerHour","km/h","","False","0,277777777778","0"
"Mass","Kilogram","kg","","True","1","0"
"Mass","Tonne","t","","False","1000","0"
"Energy","Joule","J","","True","1","0"
"Energy","NewtonMetre","Nm","","False","1","0"
"Force","Newton","N","","True","1","0"
"Acceleration","MetrePerSecondSquared","m/s^2","","True","1","0"
"VolumetricFlowRate","CubicMetrePerSecond","m^3/s","","True","1","0"
"VolumetricFlowRate","LitrePerSecond","l/s","","False","0,001","0"
"VolumetricFlowRate","LitrePerMinute","l/min","","False","0,06","0"
"VolumetricFlowRate","CubicMetrePerHour","m^3/h","","False","0,000277777777778","0"
"Costs","Euro","EUR","","False","1","0"
"Costs","UnitedStatesDollar","USD","","False","1","0"
"Costs","SwissFrancs","CHF","","False","1","0"
"Ratio","Percent","%","","False","100","0"
"Ratio","PartsPerMillion","PPM","","False","1000000","0"
"AmountOfSubstance","Mole","mol","","True","1","0"
"LuminousIntensity","Candela","cd","","True","1","0"
"Action","JouleSecond","J s","","True","1","0"
"Frequency","Hertz","Hz","s^-1; 1/s; ","True","1","0"
"Entropy","JoulePerKelvin","J/K","","True","1","0"
"ElectricCharge","Coulomb","C","","True","1","0"
"Density","KilogramPerCubicMetre","kg/m^3","","True","1","0"
"HeatFluxDestiny","WattPerSquareMetre","W/m^2","","True","1","0"
"KineticViscosity","SquareMetrePerSecond","m^2/s","","True","1","0"
"DynamicViscosity","PascalSecond","Pa s","","True","1","0"
"DynamicViscosity","KilogramPerMetreSecond","kg/m s","","False","1","0"
"SpecificVolume","CubicMetrePerKilogram","m^3/kg","","True","1","0"
"SpecificEnergy","JoulePerKilogram","J/kg","","True","1","0"
"SpecificEnergy","KilojoulePerKilogram","kJ/kg","","False","1000","0"
"SurfaceTension","KilogramPerSquareSecond","kg/s^2","","True","1","0"
"SurfaceTension","NewtonPerMetre","N/m","","False","1","0"
"SurfaceTension","JoulePerSquareMetre","J/m^2","","False","1","0"
"SurfaceTension","MillinewtonPerMetre","mN/m","","False","0,001","0"
"Pressure","StandardAtmosphere","atm","","False","101325","0"
"NotDefined","NotDefined","NotDefined","","True","1","0"
